label,x,y
1,-75.0352,56.1342
0,-24.8174,-81.6873
1,-96.563,-21.4252
4,-24.4209,-23.4928
0,-42.3976,-81.5147
0,-19.6759,-61.0571
7,-15.8006,57.1573
3,60.1446,-14.8437
5,34.9365,-31.0133
3,93.4621,-0.367712
8,17.8054,31.2401
9,-47.731,40.1423
1,-93.266,-7.15419
3,63.8005,-12.8134
3,98.6187,-2.6247
1,-88.1892,13.264
2,51.387,45.2563
0,-40.8593,-49.6819
7,-20.7913,64.5581
5,60.2884,-36.9984
8,38.0343,23.5786
6,5.83268,-62.2481
2,62.8995,48.9834
0,-44.062,-81.7582
2,49.77,46.067
3,96.5686,-7.81483
6,31.7098,-75.0411
9,-45.209,49.3785
9,-33.7023,27.0954
7,2.0356,57.9134
8,31.4795,35.5234
9,-12.1259,0.213113
4,-60.9305,-7.69104
9,-37.4153,23.9774
2,19.5889,50.9843
1,-85.77,-40.315
3,58.3125,3.45298
1,-98.8875,6.72294
1,-90.5094,31.4007
4,-50.3057,0.859311
9,57.1793,14.4533
1,-95.6795,-17.0224
4,-41.726,-25.3915
4,-12.5614,41.8254
2,26.3628,52.4603
6,27.5736,-62.2411
3,58.5478,7.83317
7,-4.71243,53.8656
7,-24.8884,81.3776
4,-48.8062,-6.44516
7,-7.22978,44.7952
5,60.7911,-36.575
1,-81.245,-8.45939
9,0.653028,2.62603
0,-33.8895,-71.5441
2,22.6426,55.6092
2,29.6187,54.4259
3,71.0187,-3.32513
9,-47.3901,39.5918
1,-93.6145,10.6098
1,-70.3655,-41.1371
1,-66.0067,62.8959
5,16.9642,-17.0567
0,-54.064,-56.1591
6,15.5206,-86.4883
3,66.1948,10.7159
4,-40.6247,-19.6156
8,27.523,-10.7064
1,-89.7458,27.3479
0,-8.28904,-59.2566
3,79.9532,18.256
9,-21.509,31.8871
6,8.25165,-105.54
2,23.3664,72.6496
6,15.9813,-50.945
4,-63.6015,3.93101
7,-16.3032,40.8594
1,-95.0719,-7.54175
4,-42.1699,-19.1183
1,-80.2903,15.5066
5,-1.13095,-32.9878
4,-48.5838,2.94928
8,44.135,30.4746
9,-29.4846,39.1031
2,45.353,63.8952
9,-3.03455,16.6992
9,-35.4374,35.3218
8,38.3405,-7.6447
9,-24.873,17.4018
6,1.57068,-104.102
3,67.3877,-26.3531
6,7.50389,-72.6759
4,-32.4695,-4.71638
6,34.0656,-81.1477
2,26.6126,65.403
9,-35.2692,49.3509
1,-84.9981,9.82972
2,39.618,67.7389
0,-49.0416,-46.4776
5,53.4168,-46.1661
9,-43.3847,25.3844
2,64.3404,45.29
7,-19.619,83.7689
7,-10.5656,53.6336
2,21.5993,88.2962
8,22.9075,28.1508
8,31.7651,22.1351
5,61.9719,-38.4821
0,-17.2084,-70.2763
6,13.7476,-70.8707
0,-49.0949,-71.5542
0,-18.0023,-49.6205
2,41.1442,63.9763
9,1.16612,4.26423
0,-40.5339,-60.755
4,-21.2123,-22.6902
7,-26.9232,88.9175
7,-38.1582,71.6597
1,-94.1441,-19.0038
5,45.6295,-34.9159
7,6.07008,35.8439
9,-49.6332,34.7905
4,-53.0834,-11.1004
6,21.2388,-94.8438
1,-72.8792,59.0545
5,52.1108,-17.0764
7,-22.2672,62.346
6,42.4078,-78.068
5,9.28927,-41.7685
0,-36.8398,-63.3586
4,-40.5011,-28.2966
8,20.3293,-3.90995
7,-41.8677,74.5154
6,39.0926,-65.8764
1,-78.8954,40.9874
8,36.1174,28.5831
7,-8.19837,51.8938
3,85.0039,-12.8878
7,2.79897,45.8973
3,69.0696,6.5455
1,-95.0089,-16.2311
0,-53.6964,-61.0128
3,68.8318,11.98
4,-63.3683,11.4248
5,5.71292,-26.9988
4,-63.4217,3.26417
0,-22.5135,-51.7277
5,16.6643,-38.4783
4,-65.9522,10.4893
0,-49.2119,-48.4461
3,85.5999,-17.8197
5,12.7782,-34.7509
1,-83.1344,35.3096
0,-30.7703,-66.859
8,19.9846,20.0717
