label,x,y
1,52.9648,184.1342
0,103.18260000000001,46.31270000000001
1,31.436999999999998,106.5748
4,103.5791,104.5072
0,85.6024,46.485299999999995
0,108.3241,66.94290000000001
7,112.1994,185.1573
3,188.1446,113.1563
5,162.9365,96.9867
3,221.46210000000002,127.632288
8,145.8054,159.2401
9,80.269,168.1423
1,34.733999999999995,120.84581
3,191.8005,115.1866
3,226.6187,125.3753
1,39.8108,141.264
2,179.387,173.2563
0,87.14070000000001,78.3181
7,107.2087,192.5581
5,188.2884,91.0016
8,166.0343,151.5786
6,133.83268,65.7519
2,190.8995,176.98340000000002
0,83.938,46.2418
2,177.77,174.067
3,224.5686,120.18517
6,159.7098,52.9589
9,82.791,177.3785
9,94.29769999999999,155.0954
7,130.0356,185.9134
8,159.4795,163.5234
9,115.8741,128.213113
4,67.0695,120.30896
9,90.5847,151.9774
2,147.5889,178.9843
1,42.230000000000004,87.685
3,186.3125,131.45298
1,29.112499999999997,134.72294
1,37.4906,159.4007
4,77.6943,128.859311
9,185.1793,142.4533
1,32.320499999999996,110.9776
4,86.274,102.60849999999999
4,115.4386,169.8254
2,154.3628,180.4603
6,155.5736,65.7589
3,186.5478,135.83317
7,123.28757,181.8656
7,103.1116,209.3776
4,79.19380000000001,121.55484
7,120.77022,172.7952
5,188.7911,91.425
1,46.754999999999995,119.54061
9,128.653028,130.62603000000001
0,94.1105,56.4559
2,150.64260000000002,183.6092
2,157.6187,182.4259
3,199.0187,124.67487
9,80.60990000000001,167.5918
1,34.38549999999999,138.6098
1,57.6345,86.8629
1,61.993300000000005,190.89589999999998
5,144.9642,110.9433
0,73.936,71.8409
6,143.5206,41.511700000000005
3,194.1948,138.7159
4,87.37530000000001,108.3844
8,155.523,117.2936
1,38.2542,155.3479
0,119.71096,68.74340000000001
3,207.95319999999998,146.256
9,106.491,159.8871
6,136.25165,22.459999999999994
2,151.3664,200.64960000000002
6,143.9813,77.055
4,64.3985,131.93101
7,111.6968,168.8594
1,32.9281,120.45824999999999
4,85.8301,108.8817
1,47.7097,143.5066
5,126.86905,95.0122
4,79.4162,130.94928
8,172.135,158.4746
9,98.5154,167.10309999999998
2,173.353,191.8952
9,124.96545,144.6992
9,92.5626,163.3218
8,166.3405,120.3553
9,103.127,145.4018
6,129.57068,23.897999999999996
3,195.3877,101.6469
6,135.50389,55.3241
4,95.5305,123.28362
6,162.06560000000002,46.8523
2,154.6126,193.40300000000002
9,92.7308,177.3509
1,43.001900000000006,137.82972
2,167.618,195.7389
0,78.9584,81.5224
5,181.4168,81.8339
9,84.61529999999999,153.3844
2,192.3404,173.29
7,108.381,211.7689
7,117.4344,181.6336
2,149.5993,216.2962
8,150.9075,156.1508
8,159.7651,150.1351
5,189.9719,89.5179
0,110.7916,57.723699999999994
6,141.7476,57.1293
0,78.9051,56.445800000000006
0,109.9977,78.37950000000001
2,169.1442,191.9763
9,129.16612,132.26423
0,87.4661,67.245
4,106.7877,105.3098
7,101.07679999999999,216.91750000000002
7,89.8418,199.6597
1,33.855900000000005,108.9962
5,173.6295,93.0841
7,134.07008,163.8439
9,78.3668,162.7905
4,74.9166,116.89959999999999
6,149.2388,33.1562
1,55.1208,187.0545
5,180.11079999999998,110.9236
7,105.7328,190.346
6,170.4078,49.932
5,137.28927,86.2315
0,91.1602,64.6414
4,87.49889999999999,99.7034
8,148.3293,124.09005
7,86.1323,202.5154
6,167.0926,62.123599999999996
1,49.104600000000005,168.9874
8,164.1174,156.5831
7,119.80163,179.8938
3,213.0039,115.1122
7,130.79897,173.8973
3,197.06959999999998,134.5455
1,32.9911,111.7689
0,74.3036,66.9872
3,196.8318,139.98
4,64.6317,139.4248
5,133.71292,101.0012
4,64.5783,131.26417
0,105.4865,76.2723
5,144.6643,89.52170000000001
4,62.047799999999995,138.48930000000001
0,78.7881,79.5539
3,213.5999,110.1803
5,140.7782,93.2491
1,44.8656,163.3096
0,97.22970000000001,61.141000000000005
8,147.9846,148.0717
3,202.26659999999998,123.15011
7,112.46809999999999,217.29149999999998
0,94.83760000000001,75.1714
9,126.34607,141.76670000000001
6,139.4725,36.766400000000004
6,147.9066,65.7707
9,99.4791,166.086
5,131.34214,96.3141
4,78.37989999999999,116.6371
6,149.0327,77.4165
9,111.2852,159.4934
3,195.5429,146.3127
5,176.4821,92.41839999999999
4,102.8629,98.3817
2,167.6292,213.62529999999998
4,60.668400000000005,136.84717
8,156.9903,128.521757
7,90.1776,209.7197
7,104.0005,182.3004
5,138.6247,94.3121
8,156.6615,128.421651
8,170.4028,119.35222
8,165.2739,164.6473
2,173.18630000000002,191.615
6,138.3201,20.302000000000007
9,97.76689999999999,155.3596
3,210.8467,106.9976
1,56.700500000000005,158.0876
0,75.6572,46.1408
4,69.27369999999999,126.72743
1,59.97580000000001,172.45069999999998
5,149.6816,99.5178
9,97.4749,146.7209
0,93.34870000000001,74.58840000000001
6,146.6613,34.346999999999994
2,178.7152,199.12869999999998
1,132.40352000000001,143.1859
3,113.7916,178.031
0,116.0403,56.7689
6,169.8775,48.741299999999995
0,73.55279999999999,74.59440000000001
0,114.07130000000001,53.338800000000006
8,154.2906,116.0541
3,191.9603,115.3467
2,181.5123,204.1713
0,108.8586,58.0981
0,115.6041,77.9815
6,141.1099,55.388000000000005
0,83.2199,47.7692
0,72.7074,60.540400000000005
4,98.6032,100.3823
7,122.94212,192.45260000000002
2,158.04149999999998,203.8382
7,96.66290000000001,207.76069999999999
1,43.0248,95.7187
9,103.4942,162.7228
9,109.4494,163.9678
3,213.76600000000002,119.60059
9,103.3432,154.8066
8,173.9649,124.33649
4,105.70830000000001,130.86821
6,148.71699999999998,75.03
6,137.7842,75.5543
5,140.4133,100.7013
3,201.80169999999998,125.35867
8,149.0682,156.6413
1,46.2655,142.3316
8,161.6758,133.79805
7,118.98196,188.5391
1,43.9371,158.3321
3,214.0694,112.5295
7,131.67701,189.9356
6,158.1269,47.417
3,221.03019999999998,145.9389
6,142.9217,20.061999999999998
3,216.277,133.76416
6,143.0922,22.417
3,219.3827,136.83704
2,177.1044,190.1791
3,189.4916,139.07920000000001
2,153.0278,178.3428
2,193.1986,182.4983
7,129.53203,165.71620000000001
9,113.7736,138.2337
2,189.6313,171.7197
3,227.3038,143.8493
2,160.2892,215.1292
7,99.0376,206.71519999999998
5,162.9586,87.8886
5,130.8511,105.6524
8,159.5116,161.7095
8,143.7518,128.747086
2,186.6601,177.5625
0,79.46979999999999,54.05200000000001
1,49.391400000000004,181.3914
4,67.5801,116.7904
0,118.78004,74.0347
6,133.32889,25.745999999999995
3,206.1813,109.4341
7,115.0029,178.7169
1,51.9507,178.5014
1,34.816100000000006,96.01310000000001
1,49.3912,149.0648
4,81.9113,116.1382
7,124.12432,198.1907
0,99.7226,46.09310000000001
2,184.9918,186.16559999999998
